dist,station,value,date
Tiruppur,Palladam,6.6,15-03-2008
Tiruppur,Dharapuram,5,15-03-2008
Tiruppur,Udumalpet,5,15-03-2008
Tiruppur,Udumalpet,57,16-03-2008
Tiruppur,Kangeyam,32.4,17-03-2008
Tiruppur,moolanur,14.4,17-03-2008
Tiruppur,Dharapuram,7,17-03-2008
Tiruppur,Palladam,4.4,17-03-2008
Tiruppur,Udumalpet,1,17-03-2008
Tiruppur,Udumalpet,9,18-03-2008
Tiruppur,Dharapuram,20,19-03-2008
Tiruppur,Palladam,12.2,19-03-2008
Tiruppur,District Collector Office,7.2,19-03-2008
Tiruppur,Kangeyam,3.4,19-03-2008
Tiruppur,Udumalpet,3.2,19-03-2008
Tiruppur,Dharapuram,11,20-03-2008
Tiruppur,Udumalpet,9,20-03-2008
Tiruppur,Kangeyam,8.2,20-03-2008
Tiruppur,District Collector Office,3,20-03-2008
Tiruppur,Palladam,2,20-03-2008
Tiruppur,moolanur,54,21-03-2008
Tiruppur,Kangeyam,28.2,21-03-2008
Tiruppur,Dharapuram,27,21-03-2008
Tiruppur,Palladam,26,21-03-2008
Tiruppur,Avinashi,25,21-03-2008
Tiruppur,District Collector Office,20,21-03-2008
Tiruppur,Udumalpet,4,21-03-2008
Tiruppur,District Collector Office,6,22-03-2008
Tiruppur,Palladam,3.4,22-03-2008
Tiruppur,Kangeyam,3.2,22-03-2008
Tiruppur,Udumalpet,3.2,22-03-2008
Tiruppur,Avinashi,1.5,22-03-2008
Tiruppur,Palladam,2.4,23-03-2008
Tiruppur,Udumalpet,0.6,23-03-2008
Tiruppur,Kangeyam,13.2,24-03-2008
Tiruppur,Dharapuram,9,24-03-2008
Tiruppur,Udumalpet,9,24-03-2008
Tiruppur,Avinashi,18,28-03-2008
Tiruppur,moolanur,30,29-03-2008
Tiruppur,District Collector Office,5,29-03-2008
Tiruppur,Udumalpet,30,30-03-2008
Tiruppur,Udumalpet,71,31-03-2008
Tiruppur,Palladam,30,31-03-2008
Tiruppur,Kangeyam,28.6,31-03-2008
Tiruppur,District Collector Office,21,31-03-2008
Tiruppur,moolanur,16,31-03-2008
Tiruppur,Dharapuram,15,31-03-2008
Tiruppur,Avinashi,5.5,31-03-2008
Tiruppur,District Collector Office,12,01-04-2008
Tiruppur,Kangeyam,10.6,01-04-2008
Tiruppur,Avinashi,10,01-04-2008
Tiruppur,District Collector Office,14,03-04-2008
Tiruppur,Avinashi,6,03-04-2008
Tiruppur,Dharapuram,2,03-04-2008
Tiruppur,Udumalpet,5,26-04-2008
Tiruppur,Udumalpet,1,27-04-2008
Tiruppur,Kangeyam,77,08-05-2008
Tiruppur,Dharapuram,77,08-05-2008
Tiruppur,moolanur,13,08-05-2008
Tiruppur,Avinashi,3,08-05-2008
Tiruppur,Palladam,32.2,11-05-2008
Tiruppur,Dharapuram,7,11-05-2008
Tiruppur,Kangeyam,3.3,11-05-2008
Tiruppur,Avinashi,3,11-05-2008
Tiruppur,Palladam,14,12-05-2008
Tiruppur,Kangeyam,7.8,12-05-2008
Tiruppur,District Collector Office,4,12-05-2008
Tiruppur,Avinashi,28,14-05-2008
Tiruppur,Dharapuram,58,25-05-2008
Tiruppur,Palladam,26.4,26-05-2008
Tiruppur,Avinashi,13,26-05-2008
Tiruppur,moolanur,50,27-05-2008
Tiruppur,Kangeyam,11.08,27-05-2008
Tiruppur,Dharapuram,4,27-05-2008
Tiruppur,Udumalpet,4,27-05-2008
Tiruppur,Dharapuram,3,30-05-2008
Tiruppur,District Collector Office,7,01-06-2008
Tiruppur,District Collector Office,49,03-06-2008
Tiruppur,Dharapuram,7,27-06-2008
Tiruppur,Udumalpet,5,27-06-2008
Tiruppur,Udumalpet,3,30-06-2008
Tiruppur,Avinashi,2,30-06-2008
Tiruppur,Avinashi,16,02-07-2008
Tiruppur,Avinashi,5.5,16-07-2008
Tiruppur,District Collector Office,3,16-07-2008
Tiruppur,Kangeyam,37.4,19-07-2008
Tiruppur,Palladam,34,19-07-2008
Tiruppur,District Collector Office,24,19-07-2008
Tiruppur,Avinashi,14,19-07-2008
Tiruppur,Dharapuram,18,23-07-2008
Tiruppur,Dharapuram,1,25-07-2008
Tiruppur,Udumalpet,1.6,26-07-2008
Tiruppur,Udumalpet,3,28-07-2008
Tiruppur,Palladam,2.2,28-07-2008
Tiruppur,Avinashi,0.5,28-07-2008
Tiruppur,Udumalpet,4,29-07-2008
Tiruppur,Udumalpet,7,30-07-2008
Tiruppur,Udumalpet,3.6,31-07-2008
Tiruppur,Avinashi,35,02-08-2008
Tiruppur,Udumalpet,4,11-08-2008
Tiruppur,Udumalpet,1,12-08-2008
Tiruppur,Udumalpet,2.2,13-08-2008
Tiruppur,District Collector Office,23,15-08-2008
Tiruppur,Avinashi,10,15-08-2008
Tiruppur,Kangeyam,4,18-08-2008
Tiruppur,District Collector Office,2,18-08-2008
Tiruppur,Avinashi,2,18-08-2008
Tiruppur,Avinashi,61,20-08-2008
Tiruppur,Avinashi,11,21-08-2008
Tiruppur,Avinashi,2,22-08-2008
Tiruppur,Dharapuram,12,24-08-2008
Tiruppur,Avinashi,4.5,24-08-2008
Tiruppur,Dharapuram,12,25-08-2008
Tiruppur,Avinashi,48,26-08-2008
Tiruppur,moolanur,30,26-08-2008
Tiruppur,Dharapuram,16,26-08-2008
Tiruppur,Udumalpet,3,26-08-2008
Tiruppur,District Collector Office,1.2,26-08-2008
Tiruppur,Dharapuram,82,27-08-2008
Tiruppur,Palladam,10.3,27-08-2008
Tiruppur,moolanur,10,27-08-2008
Tiruppur,Kangeyam,4.2,27-08-2008
Tiruppur,Udumalpet,2,27-08-2008
Tiruppur,District Collector Office,2,27-08-2008
Tiruppur,Udumalpet,17,28-08-2008
Tiruppur,District Collector Office,9,28-08-2008
Tiruppur,Kangeyam,6.2,28-08-2008
Tiruppur,Palladam,3.4,28-08-2008
Tiruppur,Avinashi,3,28-08-2008
Tiruppur,Dharapuram,5,29-08-2008
Tiruppur,Udumalpet,4,29-08-2008
Tiruppur,Avinashi,18,30-08-2008
Tiruppur,District Collector Office,8,30-08-2008
Tiruppur,Palladam,8,30-08-2008
Tiruppur,Avinashi,76,31-08-2008
Tiruppur,Kangeyam,35.4,31-08-2008
Tiruppur,moolanur,16,31-08-2008
Tiruppur,Dharapuram,13,31-08-2008
