Well No,Well Type,District,Tahsil / Taluk,Village,Latitude,Longitude,Date of collection,TDS (mg/L),NO2+NO3 (mg/L),Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Cl (mg/L),SO4 (mg/L),CO3 (mg/L),HCO3 (mg/L),F (mg/L),pH_GEN,EC_GEN (µS/cm),HAR_Total (mg/L),SAR,RSC (meq/L),Na%
63523,Dug Well,Tiruppur,Dharapuram,Kilankudal,"10°45'22""","77°43'36""",06-07-2017,1222,36,52,89.91,304,43,326,136,0,219.6,1.5,7.9,2440,500,5.915528,0,54.37955
HP1CTR05(A),Bore Well,Tiruppur,Palladam,Vengitapuram,"10°57'22""","77°15'34""",06-07-2017,3483,12,176,252.72,810,13,1886,79,0,427,0.99,8.1,6550,1480,9.161632,0,54.08437
63532,Dug Well,Tiruppur,Dharapuram,Uthiyur,"10°53'40""","77°31'40""",07-07-2017,1496,41,16.4,70.227,348,34,340,96,0,762.5,0.87,7.5,2300,330,8.334458,5.901105,66.96666
HP2ETR10,Bore Well,Tiruppur,Kangeyam,Keeranur,"11°04'40""","77°33'00""",07-07-2017,600,20,42,80.19,42,9,67,44,0,457.5,0.91,7,1080,435,0.8761991,0,16.99163
HP2ETR21,Bore Well,Tiruppur,Dharapuram,Uthiyur,"10°53'10""","77°31'20""",07-07-2017,1276,13,92,132.435,233,34,454,116,0,311.1,0.86,7.2,2700,775,3.641863,0,38.2543
63801,Dug Well,Tiruppur,Udumalaipettai,Ramachandrapuram,"10°43'30""","77°10'35""",17-07-2017,577,0.5,22,36.45,144,20,92,96,0,329.4,0.43,8.2,1090,205,4.376164,1.301995,57.61013
63820A,Dug Well,Tiruppur,Madathukulam,Thungavi,"10°37'34""","77°19'46""",17-07-2017,252,10,32,12.15,30,7,50,22,1.051859,88.88519,0.3,8.1,410,130,1.14521,0,31.97783
HP1CTR13,Bore Well,Tiruppur,Udumalaipettai,Gudimangalam,"10°41'15""","77°17'05""",17-07-2017,90,1,6,13.365,6,2,21,8,0.7328016,49.18795,0.1,8.2,170,70,0.3120257,0,15.25032
63806,Dug Well,Tiruppur,Gudimangalam,Kongalnagaram,"10°40'42""","77°12'09""",17-07-2017,234,1,20,29.16,8,23,32,23,1.75359,148.1835,0.3,8.1,440,170,0.2669826,0,8.029358
63817A,Dug Well,Tiruppur,Madathukulam,Komaralingam,"10°29'19""","77°21'20""",17-07-2017,84,1,10,6.075,10,1,11,12,0.7328016,49.18795,0.1,8.2,150,50,0.6154718,0,29.80303
63818A,Dug Well,Tiruppur,Madathukulam,Neelammbur,"10°32'02""","77°21'35""",17-07-2017,92,1,10,8.505,2,12,7,8,0.7594717,64.17758,1.6,8.1,160,60,0.1123613,0,5.461698
63542,Dug Well,Tiruppur,Kangeyam,Vellakoil,"10°56'40""","77°42'55""",03-01-2018,679,3,70,42.525,115,20,170,66,0,366,0.77,7.8,1270,350,2.675205,0,39.99729
HP2CTR12,Bore Well,Tiruppur,Palladam,Samalapuram,"11°14'00""","77°12'00""",03-01-2018,89,1,20,4.86,5,2,21,8,0.3720329,39.57797,0.31,8,160,70,0.2601315,0,13.0493
HP2ETR12,Bore Well,Tiruppur,Kangeyam,Rasathavalasu,"11°02'15""","77°42'50""",03-01-2018,917,21,108,68.04,60,84,191,99,0,427,1.55,7.4,1540,550,1.113422,0,16.57377
HP2ETR27,Bore Well,Tiruppur,Dharapuram,Thoorampadi,"10°51'05""","77°40'30""",03-01-2018,240,3,22,21.87,32,5,28,27,1.396404,148.5536,0.48,8,430,145,1.156418,0,31.51035
HP2ETR29,Bore Well,Tiruppur,Dharapuram,Velampoondi,"10°48'40""","77°53'00""",03-01-2018,665,12,40,60.75,92,32,106,108,18,305,1.19,8.5,1150,350,2.139776,0,33.86913
63536,Dug Well,Tiruppur,Dharapuram,Erasinampalayam,"10°50'36""","77°44'33""",03-01-2018,634,6,38,51.03,124,24,99,57,0,427,1.84,8.1,1150,305,3.089553,0.9035494,44.56471
63501,Dug Well,Tiruppur,Dharapuram,Munduvelampatty,"10°42'30""","77°19'40""",04-01-2018,1440,65,60,150.66,161,92,362,82,0,488,1.53,7.2,2400,770,2.52442,0,28.29777
63505,Dug Well,Tiruppur,Dharapuram,Dalavaypattinam,"10°40'25""","77°29'00""",04-01-2018,527,9,38,44.955,74,25,60,63,0,366,1.5,8.1,940,280,1.924362,0.4035774,34.04764
63517,Dug Well,Tiruppur,Dharapuram,Kulathupalayam,"10°45'35""","77°35'00""",04-01-2018,855,22,48,55.89,184,21,160,67,0,439.2,0.59,7.2,1520,350,4.279758,0.2045538,51.51894
63533,Dug Well,Tiruppur,Dharapuram,Sinukinari,"10°50'20""","77°33'05""",04-01-2018,952,35,96,87.48,92,23,184,107,0,414.8,1.66,7.8,1610,600,1.634439,0,24.13695
HP2ETR22,Bore Well,Tiruppur,Dharapuram,Periakumarapalayam,"10°46'25""","77°18'55""",04-01-2018,2559,67,288,184.68,299,92,822,209,0,732,0.56,7.7,4390,1480,3.382428,0,28.94778
63510,Dug Well,Tiruppur,Dharapuram,Periyakumarapalayam,"10°46'25""","77°18'52""",04-01-2018,1857,51,136,218.7,184,16,695,168,18,390.4,0.47,8.6,3390,1240,2.273616,0,24.10985
63523,Dug Well,Tiruppur,Dharapuram,Kilankudal,"10°45'22""","77°43'36""",04-01-2018,1222,36,32,99.63,198,94,291,111,0,475.8,1.3,7.7,2080,490,3.891675,0,41.38247
HP1CTR05(A),Bore Well,Tiruppur,Palladam,Vengitapuram,"10°57'22""","77°15'34""",04-01-2018,1382,11,40,19.44,460,5,702,35,18,109.8,1.48,8.8,2320,180,14.92228,0,84.30953
63532,Dug Well,Tiruppur,Dharapuram,Uthiyur,"10°53'40""","77°31'40""",05-01-2018,3132,53,504,179.82,276,68,1347,197,0,597.8,0.14,7.9,5500,2000,2.686179,0,22.35891
HP2ETR21,Bore Well,Tiruppur,Dharapuram,Uthiyur,"10°53'10""","77°31'20""",05-01-2018,1130,19,116,94.77,78,100,404,100,0,305,0.78,7.7,1950,680,1.301686,0,17.3653
63540,Dug Well,Tiruppur,Dharapuram,Kadaiyur,"10°59'13""","77°31'04""",05-01-2018,1470,36,168,55.89,290,7,567,45,0,353.8,0.57,7.7,2430,650,4.950946,0,48.93727
HP2ETR11,Bore Well,Tiruppur,Kangeyam,Kanjeerapalayam,"11°02'45""","77°36'15""",08-01-2018,268,10,36,14.58,32,7,60,30,0.6514068,69.29859,0.26,8,440,150,1.137193,0,30.47583
63801,Dug Well,Tiruppur,Udumalaipettai,Ramachandrapuram,"10°43'30""","77°10'35""",08-01-2018,418,4,20,15.795,106,16,92,53,2.347524,157.5732,0.44,8.2,690,115,4.301561,0.3632436,63.00718
63820A,Dug Well,Tiruppur,Madathukulam,Thungavi,"10°37'34""","77°19'46""",08-01-2018,766,18,24,44.955,147,65,191,61,30,244,0.6,9,1290,245,4.086333,0.1025122,49.36195
HP1CTR13,Bore Well,Tiruppur,Udumalaipettai,Gudimangalam,"10°41'15""","77°17'05""",08-01-2018,82,2,16,2.43,7,2,18,13,0.7171186,24.12477,0.08,8.5,120,50,0.4309397,0,22.48636
63806,Dug Well,Tiruppur,Gudimangalam,Kongalnagaram,"10°40'42""","77°12'09""",08-01-2018,34,1,6,2.43,2,1,7,4,0.2190262,14.70173,0.08,8.2,60,25,0.1740965,0,14.21578
63817A,Dug Well,Tiruppur,Madathukulam,Komaralingam,"10°29'19""","77°21'20""",08-01-2018,68,1,16,2.43,5,2,14,8,0.6891147,29.18529,0.08,8.4,110,50,0.3078141,0,17.16445
63818A,Dug Well,Tiruppur,Madathukulam,Neelammbur,"10°32'02""","77°21'35""",08-01-2018,363,11,30,8.505,76,16,113,25,3.901587,65.78294,0.31,8.8,580,110,3.154113,0,55.91654
HP2CTR21(A),Bore Well,Tiruppur,Palladam,Pongalur,"10°58'21""","77°21'53""",08-01-2018,936,17,80,65.61,161,6,355,76,0,237.9,0.44,8.1,1650,470,3.231787,0,42.32029
HP2CTR02,Bore Well,Tiruppur,Avinashi,Sevur,"11°14'50""","77°14'30""",09-01-2018,135,0.6,12,8.505,3,38,21,14,0.8795946,59.04116,0.78,8.2,200,65,0.1619361,0,5.434658
HP2CTR04,Bore Well,Tiruppur,Avinashi,Thathanur,"11°18'20""","77°16'40""",09-01-2018,508,1,20,44.955,92,29,121,59,12,256.2,1.11,8.6,900,235,2.611208,0,42.38792
HP2CTR19,Bore Well,Tiruppur,Tiruppur,Veerapandi,"11°04'45""","77°21'00""",11-01-2018,101,0.6,8,12.15,13,1,11,12,4.835937,64.7669,0.06,8.9,190,70,0.6760966,0,28.41434
HP2CTR20,Bore Well,Tiruppur,Tiruppur,Neruperichal,"11°09'00""","77°23'15""",11-01-2018,54,1,4,3.645,10,1,7,7,0.09313215,24.88696,0.16,7.6,90,25,0.8703349,0,45.30471
63811,Dug Well,Tiruppur,Udumalaipettai,Udumalpet,"10°34'25""","77°14'25""",18-01-2018,306,1,16,41.31,37,4,71,33,2.347524,157.5732,0.57,8.2,560,210,1.110891,0,27.23428
