Well No,District,Tahsil / Taluk,Village,Latitude,Longitude,Date of collection,TDS,NO2+NO3,Ca,Mg,Na,K,Cl,SO4,CO3,HCO3,F,pH_GEN,EC_GEN,ALK-TOT,Alk-Phen,HAR_Total,SAR,HAR_Ca,RSC,Na%
63530,Tirupur,Dharapuram,Kundadam,"10°50'45""","77°26'45""",01-07-1987,1426.0,15.0,52.0,119.0,274.0,35.0,524.0,175.0,48.0,262.0,,8.5,2500.0,,,620.0,4.78897,,0.0,47.29345
63531,Tirupur,Dharapuram,Dayampalayam,"10°53'00""","77°39'35""",01-07-1987,986.0,50.0,38.0,80.0,159.0,27.0,245.0,83.0,42.0,177.0,,8.4,1600.0,,,425.0,3.358878,,0.0,42.99438
63533,Tirupur,Dharapuram,Sinukinari,"10°50'20""","77°33'05""",01-07-1987,838.0,18.0,52.0,64.0,122.0,22.0,209.0,86.0,0.0,403.0,,7.8,1560.0,,,395.0,2.676625,,0.0,38.64799
63534,Tirupur,Dharapuram,Anaipudur,"10°52'30""","77°35'55""",01-07-1987,1133.0,3.0,16.0,68.0,290.0,29.0,264.0,199.0,72.0,366.0,,8.7,1980.0,,,320.0,7.054888,,2.005174,63.86966
63535,Tirupur,Kangeyam,Andipalayam,"10°52'00""","77°39'00""",01-07-1987,1133.0,3.0,16.0,68.0,290.0,29.0,264.0,199.0,72.0,366.0,,8.7,1980.0,,,320.0,7.054888,,2.005174,63.86966
63537,Tirupur,Kangeyam,Muthunaickken Valasu,"10°54'10""","77°44'35""",01-07-1987,3119.0,48.0,40.0,214.0,695.0,123.0,950.0,508.0,0.0,756.0,,7.7,5320.0,,,980.0,9.655457,,0.0,57.05812
63538,Tirupur,Kangeyam,Punjathalaiyur,"10°51'20""","77°48'30""",01-07-1987,1060.0,15.0,120.0,92.0,117.0,36.0,347.0,72.0,0.0,415.0,,7.6,1980.0,,,680.0,1.954567,,0.0,26.00644
63542,Tirupur,Kangeyam,Vellakoil,"10°56'40""","77°42'55""",01-07-1987,1878.0,62.0,52.0,182.0,400.0,32.0,713.0,13.0,66.0,293.0,,6.6,3640.0,,,880.0,5.869978,,0.0,48.61572
63803,Tirupur,Udumalaipettai,Velayuthagoundampudur,"10°44'15""","77°16'40""",01-07-1987,2595.0,23.0,324.0,229.0,253.0,19.0,1198.0,365.0,12.0,183.0,,7.6,4630.0,,,1750.0,2.630176,,0.0,23.66439
63805,Tirupur,Udumalaipettai,Ponneri,"10°38'25""","77°16'05""",01-07-1987,758.0,20.0,80.0,43.0,115.0,18.0,312.0,60.0,12.0,55.0,,8.0,1300.0,,,375.0,2.57785,,0.0,38.49821
63810,Tirupur,Udumalaipettai,Chinnapoolankinar,"10°35'20""","77°12'15""",01-07-1987,6221.0,2.0,74.0,328.0,902.0,332.0,2304.0,2256.0,0.0,31.0,,7.1,10600.0,,,1535.0,10.01694,,0.0,50.0383
63811,Tirupur,Udumalaipettai,Udumalpet,"10°34'25""","77°14'25""",01-07-1987,3398.0,71.0,312.0,238.0,485.0,16.0,1319.0,614.0,0.0,195.0,,8.5,5550.0,,,1760.0,5.031863,,0.0,37.2329
63812,Tirupur,Udumalaipettai,Pallapalayam,"10°31'15""","77°13'00""",01-07-1987,1078.0,62.0,84.0,63.0,189.0,10.0,312.0,29.0,0.0,232.0,,8.6,1850.0,,,470.0,3.796901,,0.0,46.0486
63816,Tirupur,Udumalaipettai,Perisanampatti,"10°30'00""","77°17'25""",01-07-1987,453.0,63.0,56.0,34.0,0.0,5.0,32.0,48.0,0.0,0.0,,8.9,860.0,,,280.0,0.0,,0.0,0.0
63819,Tirupur,Madathukulam,Karatholuvu,"10°37'20""","77°22'33""",01-07-1987,720.0,,10.0,24.0,184.0,397.0,60.0,0.0,0.0,90.0,,,1060.0,,,125.0,7.196177,,0.0,38.79306
63821,Tirupur,Madathukulam,Palappampatty,"10°34'38""","77°18'08""",01-07-1987,693.0,1.0,48.0,111.0,85.0,13.0,209.0,48.0,54.0,238.0,,7.6,1350.0,,,575.0,1.539912,,0.0,23.7628
63324,Tirupur,Avinashi,Tundarkarampalayam,"11°16'30""","77°12'20""",01-01-1988,280.0,15.0,66.0,16.0,5.0,5.0,18.0,8.0,30.0,128.0,,8.5,490.0,,,230.0,0.1432462,,0.0,4.388626
63405,Tirupur,Tirupur,Vavipalayam,"10°52'20""","77°17'05""",01-01-1988,1000.0,32.0,92.0,34.0,621.0,6.0,46.0,58.0,0.0,0.0,,3.5,3470.0,,,370.0,14.05326,,0.0,78.17212
63416,Tirupur,Tirupur,Thutheripalayam,"10°56'10""","77°20'20""",01-01-1988,1163.0,51.0,44.0,71.0,265.0,1.0,191.0,134.0,42.0,378.0,,8.5,2000.0,,,400.0,5.749698,,0.0,58.83846
63417,Tirupur,Tirupur,Pongalur,"10°58'30""","77°21'50""",01-01-1988,1003.0,57.0,68.0,24.0,552.0,1.0,28.0,77.0,0.0,0.0,,3.3,2960.0,,,270.0,14.65528,,0.0,81.65588
63501,Tirupur,Dharapuram,Munduvelampatty,"10°42'30""","77°19'40""",01-01-1988,1047.0,58.0,36.0,83.0,198.0,17.0,301.0,34.0,42.0,159.0,,8.5,1770.0,,,430.0,4.14695,,0.0,48.73048
63502,Tirupur,Dharapuram,Dasarapatty,"10°40'50""","77°21'35""",01-01-1988,335.0,3.0,24.0,24.0,59.0,9.0,43.0,67.0,42.0,110.0,,8.9,600.0,,,160.0,2.037616,,0.0304,42.9935
63505,Tirupur,Dharapuram,Dalavaypattinam,"10°40'25""","77°29'00""",01-01-1988,382.0,1.0,36.0,30.0,58.0,12.0,89.0,26.0,48.0,153.0,,8.9,720.0,,,215.0,1.727577,,0.0,35.5583
63506,Tirupur,Dharapuram,Dharapuram,"10°45'55""","77°31'30""",01-01-1988,758.0,50.0,54.0,51.0,108.0,31.0,195.0,14.0,24.0,116.0,,8.6,1250.0,,,345.0,2.530726,,0.0,37.93956
63508,Tirupur,Dharapuram,Koneripatti,"10°42'15""","77°36'00""",01-01-1988,382.0,1.0,38.0,28.0,55.0,16.0,85.0,33.0,48.0,146.0,,8.7,760.0,,,210.0,1.650801,,0.0,34.16669
63509,Tirupur,Dharapuram,Ponnivadi,"10°41'55""","77°38'45""",01-01-1988,375.0,1.0,34.0,33.0,55.0,10.0,85.0,31.0,54.0,134.0,,8.7,760.0,,,220.0,1.610689,,0.0,33.88428
63511,Tirupur,Dharapuram,Marudur,"10°45'50""","77°22'35""",01-01-1988,1303.0,58.0,132.0,146.0,83.0,13.0,408.0,144.0,30.0,177.0,,8.3,2500.0,,,930.0,1.183816,,0.0,16.01426
63512,Tirupur,Dharapuram,Sadayapalayam,"10°48'15""","77°22'40""",01-01-1988,949.0,59.0,78.0,86.0,101.0,12.0,230.0,61.0,54.0,134.0,,8.5,1760.0,,,550.0,1.875906,,0.0,28.03695
63513,Tirupur,Dharapuram,Rangampalayam,"10°46'25""","77°27'20""",01-01-1988,1983.0,83.0,228.0,148.0,168.0,39.0,531.0,444.0,0.0,116.0,,7.4,3170.0,,,1180.0,2.129264,,0.0,22.93511
63516,Tirupur,Dharapuram,Pallapalayam,"10°47'50""","77°32'40""",01-01-1988,4414.0,54.0,528.0,521.0,230.0,86.0,2503.0,259.0,0.0,92.0,,7.9,8160.0,,,3460.0,1.700538,,0.0,12.28657
63517,Tirupur,Dharapuram,Kulathupalayam,"10°45'35""","77°35'00""",01-01-1988,3594.0,74.0,72.0,214.0,846.0,74.0,1078.0,720.0,0.0,523.0,,7.8,6000.0,,,1060.0,11.30198,,0.0,61.43977
63518,Tirupur,Dharapuram,S.K.Palayam,"10°49'40""","77°35'10""",01-01-1988,1086.0,53.0,56.0,106.0,136.0,12.0,206.0,240.0,24.0,146.0,,8.6,1770.0,,,575.0,2.465163,,0.0,33.34694
63519,Tirupur,Dharapuram,Peranium,"10°48'40""","77°37'45""",01-01-1988,395.0,1.0,40.0,28.0,62.0,8.0,85.0,47.0,30.0,177.0,,8.9,710.0,,,215.0,1.83918,,0.0,37.44728
63520,Tirupur,Dharapuram,Polarai,"10°45'55""","77°40'05""",01-01-1988,569.0,27.0,30.0,64.0,67.0,7.0,82.0,67.0,36.0,195.0,,8.7,970.0,,,340.0,1.584772,,0.0,29.56635
63522,Tirupur,Dharapuram,Mulanur,"10°47'40""","77°42'25""",01-01-1988,673.0,29.0,42.0,64.0,74.0,31.0,124.0,101.0,24.0,171.0,,8.5,1160.0,,,370.0,1.677649,,0.0,28.29951
63525,Tirupur,Dharapuram,Kannivadi,"10°48'40""","77°47'00""",01-01-1988,463.0,10.0,24.0,28.0,69.0,98.0,36.0,27.0,36.0,201.0,,8.7,680.0,,,175.0,2.268217,,0.992873,33.31255
63526,Tirupur,Dharapuram,Nanjaikalipalayam,"10°50'00""","77°50'00""",01-01-1988,394.0,1.0,40.0,27.0,64.0,8.0,82.0,45.0,24.0,195.0,,8.6,710.0,,,210.0,1.916937,,0.0,38.63
63527,Tirupur,Dharapuram,Malamedu,"10°47'25""","77°52'15""",01-01-1988,367.0,1.0,40.0,28.0,53.0,7.0,85.0,47.0,24.0,153.0,,8.6,680.0,,,215.0,1.572202,,0.0,33.97913
63528,Tirupur,Dharapuram,Karilingampalayam,"10°50'30""","77°18'20""",01-01-1988,586.0,29.0,38.0,55.0,76.0,9.0,110.0,67.0,24.0,153.0,,8.5,1020.0,,,320.0,1.844807,,0.0,33.19684
63530,Tirupur,Dharapuram,Kundadam,"10°50'45""","77°26'45""",01-01-1988,1658.0,29.0,96.0,134.0,283.0,34.0,687.0,187.0,0.0,220.0,,8.1,2900.0,,,790.0,4.377218,,0.0,42.45223
63531,Tirupur,Dharapuram,Dayampalayam,"10°53'00""","77°39'35""",01-01-1988,593.0,14.0,44.0,54.0,74.0,27.0,121.0,36.0,42.0,262.0,,8.5,1050.0,,,330.0,1.766642,,0.0,30.51376
63532,Tirupur,Dharapuram,Uthiyur,"10°53'40""","77°31'40""",01-01-1988,1677.0,58.0,164.0,97.0,258.0,32.0,517.0,192.0,0.0,323.0,,8.0,2860.0,,,810.0,3.94724,,0.0,39.78552
63533,Tirupur,Dharapuram,Sinukinari,"10°50'20""","77°33'05""",01-01-1988,539.0,,30.0,83.0,191.0,22.0,149.0,0.0,18.0,92.0,,8.3,1740.0,,,415.0,4.071629,,0.0,48.30885
63534,Tirupur,Dharapuram,Anaipudur,"10°52'30""","77°35'55""",01-01-1988,1508.0,50.0,72.0,132.0,327.0,48.0,538.0,34.0,54.0,159.0,,8.8,2990.0,,,725.0,5.29074,,0.0,47.56055
63535,Tirupur,Kangeyam,Andipalayam,"10°52'00""","77°39'00""",01-01-1988,1508.0,50.0,72.0,132.0,327.0,48.0,538.0,34.0,54.0,159.0,,8.8,2990.0,,,725.0,5.29074,,0.0,47.56055
63537,Tirupur,Kangeyam,Muthunaickken Valasu,"10°54'10""","77°44'35""",01-01-1988,389.0,1.0,32.0,32.0,60.0,16.0,89.0,32.0,36.0,171.0,,8.9,710.0,,,210.0,1.794536,,0.0,36.00171
63538,Tirupur,Kangeyam,Punjathalaiyur,"10°51'20""","77°48'30""",01-01-1988,385.0,1.0,34.0,33.0,41.0,35.0,85.0,32.0,30.0,177.0,,8.9,700.0,,,220.0,1.200695,,0.0,25.15073
63542,Tirupur,Kangeyam,Vellakoil,"10°56'40""","77°42'55""",01-01-1988,2341.0,70.0,80.0,200.0,391.0,33.0,376.0,710.0,60.0,366.0,,8.4,3810.0,,,1020.0,5.318763,,0.0,44.40437
