Station Code,Station Name,District,Latitude,Longitude,Year,Month,Day,RF in mm
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,10,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,11,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,12,5.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,13,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,14,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,15,1.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,16,1.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,17,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,18,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,19,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,20,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,21,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,22,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,23,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,24,4.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,25,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,26,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,27,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,28,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,29,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,30,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,1,2.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,2,0.00
