Well No,Type,Well Type,Agency,State,District,Tahsil / Taluk,Block / Mandal,Village,Hamlet,Survey No,Owner,Additonal Information,Basin Code,Sub Basin,Minor Basin,Geology,Geomorphology,Toposheet No,Latitude,Longitude,Grid E,Grid N,Site ID,Well use,Surface Water Influence,Local Morphology,Command Area,Name of Command,Well Location,Well Depth ,Height of Measuring Point,Elevation of Ground Level,DWLR installed,DWLR No,DWLR type,stratigraphy,Station Name,MonitorFrom,MonitorTo,Land Use,Monitoring Type,WQ Issue
63430,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Palladam,Palladam,Karaipudur,,,Panchayat,,002,Noyyal,Noyyal,CNK,PE,58E8,11.05655,77.30931,,,F,Domestic,Nil,PE,FALSE,No,AD COLONY AT CHINNAKARAI,15,0.699999988,327,FALSE,,,Archaean,Chinnakarai,,,Rural,,
63431,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Palladam,Pongalur,Thethanur,,,Panchayat,,002,Amaravathy,Amaravathy,GNS,PE,58F5,10.915,77.26361,,,F,Domestic,Nil,PE,FALSE,No,BACK SIDE OF THE GOVT HR.SEC.SCHOOL AND MILK PRODUCER CO-OP.SOCITY BUILDING,32,0.5,403,FALSE,,,Archaean,Kethanur,,,Rural,,
63432,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Palladam,Palladam,Kodangipalayam,,,Temple Well,,002,Noyyal,Noyyal,GNS,PE,58E8,11.02083,77.20916,,,F,Monitoring,Nil,PE,FALSE,No,INFRONT OF TEMPLE,16.70000076,0.800000012,384,FALSE,,,Archaean,Kodengipalayam,,,Rural,,
63433,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Palladam,Palladam,Naranapuram,,,Panchayat,,002,Noyyal,Noyyal,GNS,PE,58E8,11.02731,77.29169,,,F,Domestic,Nil,PE,FALSE,No,OPPOSITE TO TELC PRIMARY SCHOOL,17.60000038,0.860000014,352,FALSE,,,Archaean,Naranapuram,,,Rural,,
63434,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Palladam,Palladam,Sukkampalayam,,,Panchayat,,002,Amaravathy,Amaravathy,GNS,PE,58E8,11.03721,77.24606,,,F,Domestic,Nil,PE,FALSE,No,NEAR SUBKAMPALAYAM WATER TANK,21,0.800000012,363,FALSE,,,Archaean,Unjapalayam,,,Rural,,
63435,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Palladam,Palladam,Velampalayam,,,Panchayat,,002,Noyyal,Noyyal,GNS,PE,58E8,11.05888,77.26602,,,F,Domestic,Nil,PE,FALSE,No,NEAR BY VAO OFFICE,26.60000038,0.699999988,348,FALSE,,,Archaean,63 Velampalayam,,,Rural,,
63507,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Dharapuram,Manakkadvu,,,Panchayat,,002,Amaravathy,Dharapuram,GNS,PE,58F10,10.70143,77.64409,,,F,Domestic,,PE,FALSE,,Nearly 100 yards towards south of Post office Inside the compound.,13.60000038,0.839999974,270,FALSE,,,Archaean,Manakkadavu,01-07-1971,,Rural,Every month,NO
63508,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Dharapuram,Ponnivadi,,,Panchayat,,002,Amaravathy,Dharapuram,GNS,PE,58F10,10.70381,77.59656,,,F,Domestic,,PE,FALSE,,Western side of the village near the tank,16.45000076,1.059999943,251,FALSE,,,Archaean,Koneripatti,01-07-1971,,Rural,Every month,NO
63509,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Dharapuram,Ponnivadi,,,Panchayat,,002,Amaravathy,Dharapuram,GNS,PE,58F10,10.70138,77.64404,,,F,Domestic,,PE,FALSE,,Near the Harijans Satram.,18,0.75999999,270,FALSE,,,Archaean,Ponnivadi,01-07-1971,,Rural,Every month,NO
63510,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Kundadam,Periya Kumarapalayam,,,Panchayat,,002,Amaravathy,Kundadam,GNS,PE,58F5,10.77362,77.31451,,,F,Domestic,,PE,FALSE,,In front of the Panchayat office.,17.20000076,0.910000026,309,FALSE,,,Archaean,P.K.Palayam,01-07-1971,,Rural,Every month,NO
63511,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Dharapuram,Maruthur,,,Panchayat,,002,Amaravathy,Dharapuram,GNS,PE,58F5,10.76519,77.37599,,,F,Domestic,,PE,FALSE,,In front of the elementry school.,21.5,0.829999983,290,FALSE,,,Archaean,Marudur,01-07-1971,,Rural,Every month,NO
63512,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Dharapuram,Kundadam,,,Panchayat,,002,Amaravathy,Kundadam,GNS,PE,58F2,10.80413,77.37722,,,F,Domestic,,PE,FALSE,,In front of the home of Rengatiponnusamy.,28.79999924,0.75999999,330,FALSE,,,Archaean,Sadayapalayam,01-07-1971,,Rural,Every month,NO
63513,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Dharapuram,Kethalrev,,,Panchayat,,002,Amaravathy,Dharapuram,GNS,PE,58F5,10.77481,77.45289,,,F,Domestic,,PE,FALSE,,Nearer to the Elementary School on poolavadi to Dharapuram Road.,28.10000038,0.75999999,265,FALSE,,,Archean,Rangampalayam,01-07-1971,,Rural,Every month,NO
63521,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Dharapuram,Dhurampadi,,,Panchayat,,002,Amaravathy,Mulanur,GNS,PE,58F9,10.82773,77.67694,,,F,Public Supply,,PE,FALSE,,Near the Harijan shed area.,14.30000019,0.75999999,215,FALSE,,,Archaean,Nattapalayam,01-07-1971,,Rural,Every month,NO
63522,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Mulanur,Moolanur,,,Panchayat,,002,Amaravathy,Mulanur,GNS,PE,58F9,10.79232,77.70758,,,F,Public Supply,,PE,FALSE,,Inside the Panchayat Union compound .,31.10000038,0.75999999,223,FALSE,,,Archaean,Moolanur,01-07-1971,,Rural,Every month,NO
63523,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Mulanur,Kilangundal,,,Panchayat,,002,Amaravathy,Mulanur,GNS,PE,58F9,10.756,77.72662,,,F,Public Supply,,PE,FALSE,,In front of the Ele. School near the Society Bank.,14.19999981,0.75999999,239,FALSE,,,Archaean,Kilankundal,01-07-1971,,Rural,Every month,NO
63524,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Mulanur,Kilangundal,,,Panchayat,,002,Amaravathy,Mulanur,GNS,PE,58F13,10.76258,77.78167,,,F,Public Supply,,PE,FALSE,,Northern side of the village in front of the school,16.39999962,0.899999976,213,FALSE,,,Archean,Uppukarai,01-07-1971,,Rural,Every month,NO
63525,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Mulanur,Kannivadi,,,Pancahyat,,002,Amaravathy,Mulanur,GNS,PE,58F13,10.81267,77.78438,,,F,Public Supply,,PE,FALSE,,Northern side of the main road in front of the church,28.20000076,0.75999999,201,FALSE,,,Archean,Kannivadi,01-07-1971,,Rural,Every month,NO
63526,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Mulanur,Velamboondi,,,Panchayat,,002,Amaravathy,Mulanur,GNS,PE,58F13,10.83547,77.83507,,,F,Public Supply,,PE,FALSE,,Near the Elementary school.,7,0.839999974,175,FALSE,,,Archaean,Nanjaikalipalay,01-07-1971,,Rural,Every month,NO
63527,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Mulanur,Velamboondi,,,Panchayat,,002,Amaravathy,Mulanur,GNS,PE,58F13,10.79787,77.85549,,,F,Public Supply,,PE,FALSE,,On the way to the perumal valasu road.,18.89999962,0.75999999,165,FALSE,,,Archean,Malamedu,01-07-1971,,Rural,Every month,NO
63535,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Vellakoil,Lakkamanayakkanpatty,,,Private,,002,Amaravathy,Vellakoil,CNK,PE,58F9,10.86871,77.6525,,,F,Domestic,,PE,FALSE,,Andipalayam VM's House.,9.449999809,0.529999971,204,FALSE,,,Archaean,Andipalayam,01-07-1971,,Rural,,No
63536,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Vellakoil,Ericinampalayam,,,Panchayat,,002,Amaravathy,Vellakoil,GGN,PE,58F9,10.84341,77.7425,,,F,Domestic,,PE,FALSE,,Nalroad which is vellakoil-Mulanur Road. Two miles from nal road.opp to Higher Elementary school.,24.95000076,0.610000014,204,FALSE,,,Archaean,Erichinampalaya,01-07-1971,,Rural,Every month,NO
63537,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Vellakoil,Senathipathypalayam,,,Panchayat,,002,Amaravathy,Vellakoil,GNS,PE,58F9,10.90551,77.74536,,,F,Domestic,,PE,FALSE,,Near the Panchayat Union School.,19.60000038,0.790000021,203,FALSE,,,Archaean,Muthunaickken V,01-07-1971,,Rural,,No
63538,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Mulanur,Punjaithalaiyur,,,Public,,002,Amaravathi,Vellakoil,GNS,PE,58F13,10.85449,77.80686,,,F,Domestic,,PE,FALSE,,Inside the High School compound.,12.25,0.839999974,185,FALSE,,,Archaean,Punjathalaiyur,,,Rural,,
